[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.]
[-0.19999999  0.075       0.1525    ],[-0.20000014  0.0750002   0.33999881],[-0.20000434  0.07500021  0.51949769],[-0.20000958  0.07500012  0.7399978 ],[-0.20001613  0.07499966  0.91924655],[-0.2000242   0.00974932  1.1399951 ],[-0.20002747  0.07499911  1.2256453 ]
[-0.19999999  0.075       0.1525    ],[-0.19998997  0.07500024  0.33999872],[-0.18651628  0.07566413  0.51898986],[-0.16996349  0.07647908  0.73886675],[-0.16725925  0.07726619  0.91809338],[-0.16429254  0.01298741  1.13910699],[-0.15722497  0.07858022  1.22420132]
[-0.19999999  0.075       0.1525    ],[-0.19998209  0.07500105  0.3399986 ],[-0.18258056  0.07599112  0.51864898],[-0.16120251  0.07720681  0.73810744],[-0.15601821  0.07827097  0.91727775],[-0.15367869  0.01446003  1.13843417],[-0.14151525  0.07973748  1.22319496]
[-0.19999999  0.075       0.1525    ],[-0.19998902  0.07500008  0.33999869],[-0.18509531  0.07601827  0.51887548],[-0.16679843  0.07726826  0.73861217],[-0.1636927   0.0780948   0.91783202],[-0.17301531  0.01520426  1.13906789],[-0.15451854  0.07871235  1.22402692]
[-0.19999999  0.075       0.1525    ],[-0.19998401  0.07500165  0.33999866],[-0.18190633  0.07653654  0.51857805],[-0.15969755  0.07842139  0.73794907],[-0.1580238   0.07995298  0.9171834 ],[-0.17186001  0.01856163  1.13860357],[-0.15016009  0.0813145   1.22336614]
[-0.19999999  0.075       0.1525    ],[-0.19999073  0.0750002   0.33999869],[-0.18621334  0.07576635  0.5189662 ],[-0.16928804  0.076707    0.73881429],[-0.16708139  0.0777082   0.91804671],[-0.17147142  0.01408198  1.13922513],[-0.15985812  0.07904131  1.22430646]
[-0.19999999  0.075       0.1525    ],[-0.19998196  0.07500108  0.33999866],[-0.18366432  0.07598837  0.5187512 ],[-0.16361748  0.07720061  0.73833525],[-0.15686898  0.07845747  0.91745263],[-0.14623341  0.01479811  1.13840902],[-0.14095342  0.08076044  1.22334778]
[-0.19999999  0.075       0.1525    ],[-0.19998854  0.07499976  0.33999872],[-0.18706921  0.07525878  0.5190317 ],[-0.1711974   0.07557647  0.73896009],[-0.16542557  0.07621828  0.91811472],[-0.14841075  0.01251451  1.138659  ],[-0.15248097  0.07778742  1.224195  ]
[-0.19999999  0.075       0.1525    ],[-0.19998333  0.07500023  0.33999872],[-0.1843923   0.07518501  0.5188188 ],[-0.16523808  0.07541133  0.73848587],[-0.15998822  0.07639524  0.91765487],[-0.14434724  0.01300465  1.13839114],[-0.14621443  0.07875691  1.22363579]
[-0.19999999  0.075       0.1525    ],[-0.19999142  0.07499944  0.33999875],[-0.18931921  0.07465708  0.51917964],[-0.17620814  0.07423589  0.73928958],[-0.17215338  0.07452905  0.91849226],[-0.1697515   0.00969175  1.13934934],[-0.16168158  0.07488887  1.22465909]
