[-0.19999999  0.075       0.1525    ],[-0.19999999  0.075       0.33999997],[-0.20000005  0.075       0.51950002],[-0.20000005  0.075       0.74000001],[-0.20000006  0.07500001  0.91924995],[-0.20000006  0.00975009  1.13999987],[-0.20000006  0.07500004  1.22565007]
[-0.19999999  0.075       0.1525    ],[-0.20000014  0.0750002   0.33999881],[-0.20000434  0.07500021  0.51949769],[-0.20000958  0.07500012  0.7399978 ],[-0.20001613  0.07499966  0.91924655],[-0.2000242   0.00974932  1.1399951 ],[-0.20002747  0.07499911  1.2256453 ]
[-0.19999999  0.075       0.1525    ],[-0.19997601  0.07500033  0.33999842],[-0.18622036  0.07592317  0.5189665 ],[-0.16931966  0.07705621  0.73881555],[-0.14178969  0.07786499  0.91593689],[-0.11336198  0.01385248  1.13521385],[-0.08827706  0.07868194  1.21744263]
[-0.19999999  0.075       0.1525    ],[-0.19991581  0.07501165  0.33999437],[-0.15623538  0.08462259  0.51382411],[-0.10256755  0.09642933  0.72736746],[-0.01644544  0.1042036   0.88438386],[0.07442756 0.0513723  1.08917308],[0.1465158  0.11164717 1.14174664]
[-0.19999999  0.075       0.1525    ],[-0.1998708   0.07503115  0.33998728],[-0.12937067  0.10184306  0.50284797],[-0.04275016  0.13478194  0.70292765],[0.08974171 0.15320438 0.8222577 ],[0.23435616 0.12058309 0.99835151],[0.33140069 0.16705936 1.00237787]
[-0.19999999  0.075       0.1525    ],[-0.19984293  0.07504833  0.33997938],[-0.10570611  0.1230752   0.48502862],[0.00995697 0.18207765 0.66324234],[0.1726256  0.20384765 0.73535347],[0.35691118 0.19009522 0.87259245],[0.4542504  0.20402102 0.82871407]
[-0.19999999  0.075       0.1525    ],[-0.19983208  0.07505988  0.33997259],[-0.08842231  0.14673036  0.46102792],[0.04846644 0.2347804  0.60978079],[0.22542822 0.2512196  0.63325572],[0.43696594 0.2519511  0.72400367],[0.51324028 0.22262323 0.65388793]
[-0.19999999  0.075       0.1525    ],[-0.19983773  0.07506978  0.33996835],[-0.08217366  0.17363393  0.43292624],[0.06240296 0.29472458 0.54717451],[0.24071591 0.29978701 0.5293771 ],[0.46662086 0.31091446 0.57212055],[0.51506901 0.24018423 0.50697345]
[-0.19999999  0.075       0.1525    ],[-0.19985236  0.07507229  0.33996701],[-0.08567168  0.19914801  0.4013606 ],[0.05462847 0.35158157 0.47684243],[0.22802176 0.33467025 0.4345727 ],[0.4579998  0.34376758 0.43801957],[0.4828251  0.24335082 0.40811962]
[-0.19999999  0.075       0.1525    ],[-0.19987267  0.07507376  0.33996722],[-0.10160778  0.22275814  0.36711788],[0.0191407  0.40419707 0.40053797],[0.18827121 0.36632389 0.35474208],[0.4175204  0.36985758 0.33429962],[0.42887247 0.26492888 0.35562178]
