[-0.01049923 -0.20183897 -0.14837559  0.5792718  -0.262133  ],[-0.11492781  0.5511379  -0.21518092  0.07585318 -0.05168087],[ 0.06751904 -0.3262829  -0.01314914  1.2204739  -0.27710545],[-0.09971061  0.14507481 -0.17059499  0.9823649  -0.0952405 ],[ 1.2563128  -0.03228864  0.621647    0.41222993  0.7180142 ],[-0.01110445 -0.41416445 -0.00218361  0.59147686 -0.31736958],[-0.60237706  0.09110922  0.6766252   0.16733861  0.16503642],[ 1.082045    1.3239819  -0.24776636 -0.6245483   1.7632675 ],[-0.18514532  0.27560505 -0.15669696  0.16496213 -0.12204883],[-0.19553162 -0.09162085 -0.11477152  1.0344113  -0.15193328],[-0.02998081 -0.20503706  0.04039313  1.0514772  -0.19146445],[ 0.9943081   1.2334269  -0.22056004 -0.44041032  1.8215164 ],[-0.14723685 -0.00563781 -0.04153244  0.18685654 -0.13578914],[-0.33571446 -0.23046064  1.6022681   0.42805433 -0.1794102 ],[ 0.06810962 -0.18578732 -0.01862938  0.6429484  -0.24770355],"[-5.3324521e-01 -4.3998025e-02  8.2945043e-01  3.0910206e-01
 -8.0445927e-05]",[-0.12628824 -0.17845789  0.05984665  0.89451486 -0.14979956],[-0.22743575  0.25856313 -0.10629337 -0.05358025 -0.09888604],[ 1.0372381   1.4114591  -0.32646656 -0.57926446  1.7684969 ],[ 1.1900953   1.4739882  -0.32760793 -0.4917724   1.9793068 ],[ 1.0759511   1.2794982  -0.28867432 -0.39580685  1.8062572 ],[-0.6030177   0.04643613  0.68389493  0.10828897  0.14105514],[-0.13971452  0.10773706 -0.22280352  0.43688    -0.14509   ],[ 1.5544057  -0.52011234  2.6777873   1.6049554  -0.12152086],[ 0.93911666  1.1517202  -0.17763472 -0.47623497  1.7863153 ],[-0.02694023 -0.63014126  2.3622496   1.2007388  -0.45205083],[-0.01090176 -0.10300647 -0.14049424  0.76352215 -0.13643266],[-0.03384368 -0.1685564  -0.102226    0.3389388  -0.25286308],[-0.01572279 -0.22824767 -0.02253694  1.2553135  -0.17745502],[ 1.0377547  1.191322  -0.2799063 -0.5330067  1.6174409]
[ 1.2288898  -0.2261254   1.1958724   0.6084826   0.13349597],[ 1.2527355  -0.16526751  0.8710127   0.37314627  0.34661695],[-0.04601879  0.46321493 -0.19002314  0.4095341  -0.05976727],[-0.02092461 -0.82781893  1.8613619   1.7576579  -0.51911676],[-0.22104879 -0.02456911 -0.17357408  0.54688793 -0.21470176],[-0.20890878  0.09944836 -0.12612937  0.9670781  -0.16492707],[-0.11917377  0.20596534 -0.19828098  0.5649993  -0.03909478],[-0.66958475  0.3602101   0.5087946  -0.11605345  0.25179172],[ 0.7626014   0.89468265 -0.29129362 -0.632501    1.8755796 ],[-0.03198558  0.50111467 -0.23938456  0.7681193  -0.07832764],[-0.30690905  0.01459453 -0.07544151 -0.10638336  0.06650319],[ 0.9890036   0.7051009  -0.21487004 -0.47636265  1.9093095 ],"[-2.3187239e-01 -6.9424750e-05 -1.8477936e-01  3.3693558e-01
 -1.7189729e-01]",[-0.10043111  0.27851763 -0.13629465  0.62947357 -0.14866877],[-0.5931014   0.06808855  0.49926555 -0.02480965  0.10314769],[ 0.9288295   0.88660395 -0.24973342 -0.40442517  1.7517825 ],[-0.05614141 -0.81921077  1.7516837   1.6370201  -0.5385616 ],[-0.11119533  0.11429964 -0.15796788  0.7704418  -0.0298501 ],[-0.03731561 -0.09977126 -0.0363038   0.73483616 -0.24839053],[ 1.3879092  -0.3165485   1.6406846   1.0939531  -0.07809126],[ 0.8028147  1.0872481 -0.273494  -0.6403475  2.0471225],[-0.04944016  0.7465218  -0.23100586 -0.00887984 -0.04592081],[ 0.86798775  0.88939834 -0.25533655 -0.47334188  1.8245358 ],[ 1.4438922  -0.43964615  1.8650252   1.4011112  -0.16207255],[-0.06803378  0.3596365  -0.28881195 -0.06776212 -0.12399482],[-0.03569783 -0.14366779 -0.01792901  0.75958943 -0.27427778],[-0.5041229   0.09864396  0.89065105  0.00397692 -0.0231808 ],[-0.07397706  0.5867292  -0.2764981  -0.02458607 -0.07366901],[-0.02509888 -0.09596177  0.00737197  0.8205841  -0.20791729],[ 0.81452304  0.75725013 -0.19029272 -0.54247016  2.0074203 ]
[-0.04763873 -0.15686719 -0.02319341  0.9966776  -0.19363609],[-0.53181875  0.00690975  0.71720797  0.27209222 -0.00655997],[ 0.9133253   0.97305614 -0.21372613 -0.49394277  1.7810171 ],[-0.20935862  0.30085254 -0.08157232 -0.02421163 -0.07676443],[-0.12098835 -0.06298377 -0.10591758 -0.0020554  -0.0922379 ],[-0.08240432 -0.01926887 -0.08539337  0.7708242  -0.12521663],[ 1.4793832  -0.517896    2.276457    1.5776541  -0.16924194],[ 0.97198933  1.3457085  -0.29380354 -0.5890262   1.8285416 ],[ 0.05902754 -0.71678233  1.9208062   1.3268018  -0.45240635],[ 1.5187509  -0.4487375   2.1449707   1.5357351  -0.13624516],[-0.08637072 -0.18008272  0.13121296  0.8097271  -0.20158583],[ 1.0445445   1.250241   -0.29972672 -0.54314     1.9252344 ],[-0.00746393 -0.25869858 -0.00623562  1.0847753  -0.25569913],[-0.14923437 -0.00257149 -0.20532584  0.31838843 -0.16864784],[ 1.0521863   1.2215122  -0.2766318  -0.55843097  1.8442328 ],[-0.04442137 -0.11922921 -0.0267999   0.90312374 -0.19413096],[-0.65769416  0.29772606  0.58783513 -0.04952228  0.23664808],[-0.20043956  0.01927063 -0.20581357  0.3500192  -0.14492331],[-0.02872183 -0.11709192 -0.1571657   0.4729446  -0.24100055],[ 1.0386299   1.1163322  -0.25304368 -0.4382662   1.7856032 ],[ 0.08374617  0.69532865 -0.2616679   0.46307504 -0.01750228],[ 0.25657964 -0.2533334   0.06927252  0.7359235  -0.29508704],[-0.07489631 -0.44272125  1.5021192   0.9619989  -0.3778444 ],[-0.57110906  0.08134913  0.5816283   0.28716573  0.08694627],[-0.32626376 -0.00650336 -0.05378658  0.5840005   0.11144526],[-0.10974716 -0.05691446 -0.08481185  0.93550766 -0.11191087],[-0.11494128 -0.01955267 -0.22553076  0.10831781 -0.08551585],[-0.15932775  0.09731781 -0.07181185 -0.03111809 -0.10914192],[ 1.017495    1.1997553  -0.24190949 -0.4824608   1.8519651 ],[ 1.0485159   1.2053013  -0.30128738 -0.40160507  1.6982983 ]
[-0.16146329 -0.11916465 -0.03145171  0.8373695  -0.27894214],[ 0.9237688   0.8944369  -0.3265895  -0.33539066  1.2483157 ],[ 0.50151145  1.0822358  -0.22575589 -0.5541928   1.5685985 ],[ 0.81449175  0.80526835 -0.17306235 -0.30680075  1.314964  ],[ 1.0599077   0.8236238  -0.22744332 -0.2023934   1.0824732 ],[-0.30126512 -0.24916792  0.02717621  1.182805   -0.2855753 ],[-0.30474463 -0.56885135  1.4733598   1.264026   -0.52056557],[ 1.1016049  -0.07644115  0.7835784   0.5594568   0.14025584],[-0.3632699  -0.01080061 -0.1040611   0.45865828 -0.09138625],[-0.4612867  -0.30454025  1.439872    0.8061946  -0.3040371 ],[-0.38754204 -0.20948863  0.19137548  0.96231306 -0.21811235],[-0.34794387 -0.04269759 -0.13741724  1.0802324  -0.20395696],[-0.37941796 -0.03805766 -0.15476328  0.64170355 -0.21688221],[ 0.94660157  0.46784112 -0.11793276 -0.05012178  0.8446128 ],[ 0.58989066  0.95840704 -0.18639414 -0.30335137  1.4344815 ],[-0.11492023  0.18489294 -0.31572637  0.42984092 -0.17169109],[-0.17327699 -0.02081103 -0.01847355  0.87903    -0.1784084 ],[ 0.7304927  -0.669603    2.0523582   1.5912813  -0.37512383],[ 0.9049272   0.83928007 -0.17833932 -0.34219873  1.3908874 ],[ 1.0191412  -0.04610538  0.43909734  0.29877773  0.33997235],[ 0.7010322   0.7781468  -0.29384014 -0.3360497   1.3052274 ],[-0.1993436   0.00973837 -0.1546503   0.76239765 -0.13119735],[ 0.2966328  -0.700948    1.9438026   1.6425216  -0.40278235],[ 0.6292931  1.0397152 -0.2545956 -0.535999   1.53681  ],[-0.5370584  -0.20832184  1.2231992   0.7119983  -0.22748777],[-0.21942618  0.3785792  -0.2648625   0.04630173 -0.13181825],[ 0.6128992   0.72681236 -0.17767476 -0.4413963   1.2753547 ],[-0.21679369  0.09983863 -0.20219961  0.48871726 -0.18834803],[ 0.6444696   1.0462941  -0.22408986 -0.547205    1.4636562 ],[ 1.1426753  -0.22780746  1.305385    0.98408645 -0.06925257]
[-0.27490726  0.41416073 -0.16141725  0.5662295   0.22186911],[-0.06069283 -0.05583568  0.13785724  0.7417971  -0.19538169],[ 1.1152971   0.984255   -0.33073094 -0.5300191   1.7483168 ],[-0.4194104   0.21642749 -0.115423    0.37965402  0.0755051 ],[-0.22335082  0.0488423  -0.18106563  0.07057527 -0.15966256],[ 0.8377338   0.9386971  -0.35448375 -0.45452046  1.510458  ],[ 1.0193709   0.7272823  -0.24720016 -0.36567876  1.4077523 ],[ 0.98181355  0.9331308  -0.34250262 -0.5478535   1.5775447 ],[ 0.14766563 -0.5734959   1.3879601   1.6132728  -0.32249698],[-0.63694054  0.59997344  0.49341986  0.10618106  0.32183692],[ 1.3820918  -0.4335118   1.6489052   1.4915477  -0.19545457],[-0.22564676  0.0019031  -0.17791596  0.48854584 -0.16480805],[ 1.1616952   0.9329704  -0.32709542 -0.49633268  1.7032975 ],[-0.04493027 -0.16432662 -0.08800063  0.48632786 -0.28618112],[-0.10392348 -0.05398213 -0.0806845   1.0149542  -0.18516679],[-0.09398861 -0.27488738  0.9691574   0.943755   -0.32972768],[ 1.0116358   0.8775814  -0.37288526 -0.47120923  1.5307214 ],[ 1.1688778   0.95135623 -0.26866406 -0.18706651  1.25025   ],[-0.07185569 -0.21285823  1.1044395   0.7898114  -0.26890373],[ 0.69139796 -0.54199785  1.5289202   1.5418513  -0.27211347],[ 1.0317596   1.0996652  -0.34581664 -0.41203105  1.5465964 ],[-0.30079222 -0.04679979  0.8063621   0.37641573 -0.1319835 ],[-0.02779179 -0.5441586   1.1975821   1.2969604  -0.41808346],[-0.10763856 -0.0263815  -0.0819804   0.608652   -0.17136177],[-0.49585053 -0.00491584 -0.03633395  0.3860794  -0.00863156],[-0.15492351  0.41833723 -0.12532839  0.43327302 -0.08258235],[-0.31638372  0.3195608  -0.08146944 -0.03015882 -0.05627706],[-0.2624769  -0.0447532   0.95923877  0.42966715 -0.14603944],[-0.0294486  -0.5769614   1.2188319   1.3415107  -0.41579565],[ 0.9681738   0.812813   -0.23689625 -0.31049636  1.4037124 ]
[ 0.03741258  0.8175765  -0.29452425 -0.05364679  0.20886017],[-0.14946763 -0.21240787  0.7679767   0.78266096 -0.24467945],[ 0.10473588 -0.47601047  1.2157766   1.1308631  -0.41175327],[ 1.5651151   0.35313472 -0.11077577 -0.20299591  1.5108255 ],[-0.13148639  0.19806    -0.14877978  0.6336308  -0.1155588 ],[ 0.8316412  -0.7662974   1.97537     1.8608764  -0.32327762],[-0.09965775  0.17417893 -0.18390559  0.86917126 -0.10878054],[-0.06028182  0.59452564 -0.23647954  0.01663733  0.2154143 ],[-0.06071912  0.45156425 -0.23144019  0.29936075  0.1714624 ],[-0.0685431  -0.05642009 -0.12841882 -0.06667821 -0.22212653],[-0.0769261  -0.03465107 -0.1441143   0.65932065 -0.17543331],[-0.2916458  -0.03359143  0.75213146  0.1914038  -0.07821213],[ 0.07027386 -0.48261636  1.2699428   1.1584867  -0.40465078],[-0.44075143  0.15688027  0.49095136  0.06196148  0.02326203],[ 1.4993871  -0.00290842  0.09527705 -0.01500241  1.191018  ],[ 0.18130705 -0.20714183  0.1596243   0.68564755 -0.32458583],[-0.5595105   0.51211894  0.18976225 -0.10657229  0.26485574],[-0.5158573   0.36898983  0.5138618  -0.04874945  0.24273653],[-0.42892724  0.16448699  0.6992034  -0.01726966  0.04827582],[ 1.2181665   1.074758   -0.43594027 -0.9532711   2.735388  ],[-0.04516806  0.2373297  -0.24096775  0.29354346 -0.10441326],[ 0.4046136 -0.7730105  1.7970753  1.9035912 -0.3740391],[-0.1992784   0.3946063  -0.10150006  0.0239965  -0.06300363],[-0.07593842  0.25176752 -0.23046683 -0.0836696   0.01284127],[ 1.319929    0.855277   -0.3117856  -0.39369676  1.9703944 ],[ 1.1905991   1.3182002  -0.50076014 -0.88236696  2.7025683 ],[-0.12321802  0.56805015 -0.17615429 -0.06531979 -0.04271452],[ 1.8731229  -0.23659696  1.158869    0.7050197   0.5586306 ],[-0.13469341  0.4196866  -0.1729325   0.574907   -0.08409718],[-0.03574711  0.37948978 -0.21546973  0.17650902 -0.01138961]
[ 0.20656973 -0.05812839 -0.13389349  0.87793386 -0.05232514],[-0.06121244  0.02510224 -0.15571417 -0.04336532 -0.10796361],[ 2.113099   -0.48939005  2.2029939   1.5611664   0.04500281],[ 1.2882088   1.3396257  -0.4188492  -0.64208114  2.291721  ],[-0.1361836  -0.02111058 -0.06959318  0.02887467 -0.14086795],[-0.47415045 -0.00327692  0.43167263  0.23843242  0.01658797],[-0.07998949 -0.14558987  0.10841949 -0.04170709 -0.16257781],[-0.15390636 -0.22319078 -0.01536959  0.31848922 -0.16432194],[-0.10615153 -0.06100613 -0.03308781  0.47592008 -0.16440104],[-0.05029365 -0.16614664 -0.13717334  0.7631377  -0.19895963],[-0.02699381  0.3872778  -0.1361293   0.28441566 -0.10003873],[ 0.16107617  0.75960535 -0.23639984  0.17221174 -0.03936575],[ 1.3466669   1.5618397  -0.32792524 -0.6989619   2.4341874 ],[-0.15301776  0.05767712 -0.01796079  0.93832684 -0.08120193],[-0.35607222 -0.04775345  0.06017478  0.67600423  0.01771666],[ 0.29109308 -0.6986577   2.3607235   1.5670165  -0.40908238],[-0.05697136 -0.16792949 -0.03920062  0.4997362  -0.23598647],[-0.5557167   0.6636228   0.6548434   0.19884174  0.4212287 ],[ 1.2454891   1.5236342  -0.34144908 -0.66347283  2.4299452 ],[-0.0651331  -0.15806006 -0.05373447 -0.01417155 -0.13207906]
"[-3.3994102e-01  2.9224986e-01 -2.6258032e-04  6.9709837e-02
 -6.3376509e-02]",[-0.15130082 -0.12432238 -0.01834643  0.37612244 -0.24421203],[ 1.0419439   0.8511546  -0.31623733 -0.43874973  1.6371472 ],[-0.2500909   0.04404745  0.04880824  0.19897239 -0.12692463],[ 0.8063736   0.68460613 -0.35243657 -0.319324    1.3722941 ],[-0.04985079 -0.57448626  1.4398655   1.4282628  -0.43031248],[ 1.0510087   0.73861885 -0.24595036 -0.33127475  1.437723  ],[-0.5571944   0.02818649  0.92455834  0.2840881  -0.04005739],[-0.15268964  0.11316661 -0.1678436   0.30477038 -0.1574467 ],[ 0.98406166  0.8897022  -0.316679   -0.5111372   1.570167  ],[-0.65487814  0.31393814  0.5642383   0.22790149  0.14877962],[-0.08024833 -0.04193735  0.10037319  0.75656307 -0.15348764],[-0.10447402 -0.14386372 -0.04590875  0.5867795  -0.26218617],[-0.11433735  0.48331654 -0.23153725  0.04611694 -0.08424246],[-0.15156108  0.07769905 -0.11779083  0.17954433 -0.1190302 ],[ 0.93347955  1.0056739  -0.3231488  -0.34443387  1.4878582 ],[-0.00770968 -0.4082935   1.1991543   1.1777322  -0.42941308],[ 0.9002887   0.8738738  -0.3144383  -0.52976304  1.5154636 ],[ 0.13663536 -0.6427043   1.6541903   1.7145286  -0.41464618],[ 0.45764783 -0.605226    1.7449758   1.7763927  -0.3248994 ],[-0.14113072 -0.0225592  -0.04202677  0.9014762  -0.14686853],[-0.08038191 -0.22279386  0.37785652  1.0924801  -0.2830626 ],[-0.25211146 -0.01560662 -0.12755066  0.5020518  -0.17560163],[-0.13656205  0.32748258 -0.1076587   0.3820416  -0.0937167 ],[ 1.3471069  -0.02855739  0.62989604  0.72509104  0.43710908],[-0.589758    0.04292068 -0.03842101  0.51937866  0.11221029],[ 0.9596398   1.1222415  -0.36684337 -0.44626772  1.577514  ],[ 0.9971331   0.916517   -0.32728267 -0.48618442  1.5595179 ],[ 0.72808427 -0.58350503  1.8099892   1.6915996  -0.28500235],[ 0.930646    0.7727279  -0.26316768 -0.369605    1.4319289 ]
[-0.17136596 -0.04246912 -0.18104576  0.34205222 -0.19343822],[-0.04906816 -0.425793    1.1669065   1.2359957  -0.4033837 ],[-0.5367091   0.6004155   0.44708127 -0.03965234  0.3275364 ],[-0.03870297  0.5186962  -0.20381063  0.23205344 -0.05139986],[-0.1179091   0.329879   -0.14345449  0.2753517  -0.03197661],[-0.07959805 -0.33598348  1.2527202   0.9865361  -0.2978025 ],[-0.04565192 -0.09379721 -0.04072082  0.5572203  -0.2275743 ],[-0.19989978  0.04991416 -0.16932243  0.37414414 -0.1547816 ],[-0.5459936   0.46388778  0.45894405  0.08744179  0.34728035],[ 0.9568554  1.2124966 -0.4227094 -0.651336   1.8858458],[-0.13134196 -0.3609686   0.8027498   1.1283401  -0.35558808],[-0.15558115 -0.03815341 -0.13038942  0.32911012 -0.19765721],[ 1.2379886  -0.20141211  0.801312    0.78215635  0.2646692 ],[-0.04962081  0.0775862  -0.12412247  0.38356483 -0.09064957],[-0.21690384  0.0186875  -0.0022482   0.41604373 -0.11426893],[ 0.8194034  0.9363252 -0.4225609 -0.5484613  1.7255642],[ 1.0800091   0.8950311  -0.33107477 -0.2948145   1.4279631 ],[ 0.0267951  -0.26638618  0.23193194  0.72368526 -0.34504825],[-0.08878514 -0.07043724 -0.05768162  0.5720549  -0.20100132],[-0.5769401   0.4897384   0.55912066 -0.00487269  0.3688176 ],[ 1.0002568   0.8714515  -0.45509443 -0.46217182  1.6013861 ],[ 0.91200596  0.85276085 -0.33177269 -0.58082104  1.7876228 ],[ 0.04058462 -0.8697718   1.5328854   1.8474852  -0.5108279 ],[ 1.3113548  -0.24198039  1.1064613   1.1392039   0.02108304],[-0.5420824   0.4780277   0.49724707  0.13520879  0.34929448],[ 0.95756215  1.1361324  -0.4130422  -0.5657104   1.8091398 ],[-0.07314136 -0.3416458   1.0180618   1.0923823  -0.32469326],[ 1.0227395   0.78947586 -0.3255806  -0.43632662  1.6572518 ],[-0.04070727  0.6472305  -0.21429515  0.1475663  -0.0371425 ],[ 1.3605727  -0.388065    1.3648356   1.4915438  -0.08979329]
[ 0.01789454 -0.12850715  0.10222984  0.43416417 -0.26127243],[-0.05205715  0.4469857  -0.2960834  -0.17685075 -0.04037922],[-0.20017011  0.29940918 -0.06721836 -0.09077254 -0.06635781],[ 0.10625763 -0.6859905   1.350167    1.5480622  -0.4509658 ],[-0.47008198  0.24421962  0.63980097  0.30591545  0.14791963],[ 1.5053115  -0.50797313  1.6675937   1.8049506  -0.14602835],[-0.12160905 -0.0395459  -0.02644804  0.77398944 -0.11489769],[ 1.1038694   0.90660566 -0.4208855  -0.59801644  2.14331   ],[ 1.1941991   0.914165   -0.41142824 -0.6233896   2.1566756 ],[ 1.1699287   1.005311   -0.4138153  -0.59455335  2.166634  ],[ 1.1700987   0.9941211  -0.41102612 -0.45541123  1.9259114 ],[-0.12069683  0.24358425 -0.0918842   0.62813437 -0.11275811],[ 1.3837473   0.02595872 -0.02041644  0.17316644  0.99917394],[-0.07317501 -0.14509816  0.17230585  0.8705089  -0.21122509],[ 1.1160097   0.8204457  -0.4816406  -0.58774894  2.0120387 ],[-0.01466062  0.835756   -0.23096143 -0.12333672 -0.02138274],[-0.20473897 -0.08698995  1.043918    0.46136466 -0.11229216],[ 0.10336054 -0.75768733  1.3757702   1.7081276  -0.43790582],[-0.15165922  0.60550135 -0.13061    -0.09604573 -0.03654522],[ 0.01131662  0.6281569  -0.22669543 -0.03824367  0.01606446],[-0.555071    0.71582437  0.32834855  0.1332192   0.51968074],[-0.15772206  0.1236871  -0.12266242  0.07773325 -0.1331591 ],[-0.02844329  0.06932082 -0.15980817  0.29332662 -0.1384482 ],[-0.23477487 -0.06596877 -0.05681797  0.00063434 -0.13443416],[-0.54698765  0.5473711   0.48239103  0.00742465  0.410445  ],[-0.05288009 -0.41558495  0.9737998   1.1510289  -0.3732792 ],[-0.02369384 -0.20121314  0.19997591  0.9170295  -0.2800243 ],[-0.46678516  0.28290203  0.64558583  0.09464674  0.15228099],[-0.10345293 -0.02630504 -0.20612389  0.4492121  -0.17811514],[ 1.5384784  -0.44021985  1.550647    1.7641921  -0.1048272 ]
